id,feedback,aspects,aspect_sentiments,source_channel
1,5G disappointing and speed barely 450 Mbps.,"[""5g_experience"", ""internet_speed""]","{""5g_experience"": ""negative"", ""internet_speed"": ""negative""}",app_review
2,Getting 600 Mbps on 5G in Kolkata. Incredible.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
3,"the 5g experience in whitefield has been poor with brly any coverage, however the underlying 4g network coverage is excellent with strong signal evwhere, the 5g layer needs work but the foundation of good 4g connectivity gives me patience to wait","[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""negative"", ""network_coverage"": ""positive""}",survey
4,5G average but billing is accurate.,"[""5g_experience"", ""billing""]","{""5g_experience"": ""neutral"", ""billing"": ""positive""}",app_review
5,No 5G signal despite coverage map claims.,"[""5g_experience""]","{""5g_experience"": ""negative""}",complaint_ticket
6,5G in Noida is just okay.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",complaint_ticket
7,Standard 5G but value for money decent.,"[""5g_experience"", ""value_for_money""]","{""5g_experience"": ""neutral"", ""value_for_money"": ""positive""}",app_review
8,5G average and speed also mediocre in Vadodara.,"[""5g_experience"", ""internet_speed""]","{""5g_experience"": ""neutral"", ""internet_speed"": ""neutral""}",twitter
9,5G standard but pricing feels high.,"[""5g_experience"", ""pricing""]","{""5g_experience"": ""neutral"", ""pricing"": ""negative""}",app_review
10,5G connected but getting only 450 Mbps.,"[""5g_experience""]","{""5g_experience"": ""negative""}",survey
11,The 5G in Shimla delivers 250 Mbps with comprehensive coverage and crystal clear call quality on VoNR. All three connectivity dimensions — speed reach and voice — are performing at excellent levels simultaneously on this operator. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",twitter
12,5G impressive and Rs 799 plan is worth it.,"[""5g_experience"", ""value_for_money""]","{""5g_experience"": ""positive"", ""value_for_money"": ""positive""}",twitter
13,5G okay and coverage is standard.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""neutral"", ""network_coverage"": ""neutral""}",twitter
14,The 5G in Kharadi delivers 250 Mbps with comprehensive coverage and crystal clear call quality on VoNR. All three connectivity dimensions — speed reach and voice — are performing at excellent levels simultaneously on this operator. This level of 5G performance sets this operator apart clearly.,"[""5g_experience"", ""network_coverage"", ""call_quality""]","{""5g_experience"": ""positive"", ""network_coverage"": ""positive"", ""call_quality"": ""positive""}",app_review
15,5G performance in Lucknow is standard. Available in most commercial areas with decent speeds of around 450 Mbps. But residential coverage is spotty and the overall experience does not feel like a generational leap. Just a modest speed bump that meets minimum expectations.,"[""5g_experience""]","{""5g_experience"": ""neutral""}",twitter
16,Best 5G experience among all operators in Hyderabad.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
17,The 5G exprnce has completely eliminated my need for home broadband in Marathahalli. With consistent 250 Mbps speeds and unlimited data I use 5G hotspot as my primary internet for work and entertainment. The coverage in main market is comprehensive and the connection never drops.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
18,5G speeds great but coverage is limited.,"[""5g_experience"", ""network_coverage""]","{""5g_experience"": ""positive"", ""network_coverage"": ""negative""}",survey
19,Loving the 5G performance. 450 Mbps daily.,"[""5g_experience""]","{""5g_experience"": ""positive""}",app_review
